datetime,t2m,stl1,ssr,e,tp
01/01/2019 0:00,273.05008,274.21002,4061337,-0.000500273,0.000463601
01/01/2019 1:00,272.39,273.9027,1,2.79E-07,1.38E-05
01/01/2019 2:00,271.56403,273.66574,1,1.87E-06,1.63E-05
01/01/2019 3:00,271.8623,273.6053,1,2.80E-06,1.69E-05
01/01/2019 4:00,271.65994,273.5533,1,3.55E-06,1.69E-05
01/01/2019 5:00,271.3546,273.4727,1,4.77E-06,1.69E-05
01/01/2019 6:00,271.96054,273.4355,1,5.51E-06,1.69E-05
01/01/2019 7:00,272.26352,273.40863,17248,6.07E-06,1.69E-05
01/01/2019 8:00,273.20422,273.4982,213434,5.23E-06,1.69E-05
01/01/2019 9:00,275.11325,273.74234,718271,-9.63E-06,1.76E-05
01/01/2019 10:00,275.49448,273.96634,1229936,-4.04E-05,1.88E-05
01/01/2019 11:00,275.73978,274.38025,1796934,-7.68E-05,1.88E-05
01/01/2019 12:00,275.97568,274.85733,2307521,-0.000110861,1.88E-05
01/01/2019 13:00,275.99335,275.17538,2648511,-0.00013638,1.88E-05
01/01/2019 14:00,275.90628,275.30798,2946024,-0.000155916,1.88E-05
01/01/2019 15:00,275.50034,275.1615,3067831,-0.000164796,1.88E-05
01/01/2019 16:00,274.2908,274.55405,3070706,-0.000165731,1.88E-05
01/01/2019 17:00,273.68546,273.8037,3070706,-0.000164796,1.88E-05
01/01/2019 18:00,273.50955,273.61108,3070706,-0.000163394,1.88E-05
01/01/2019 19:00,274.08844,273.52643,3070706,-0.000162085,1.88E-05
01/01/2019 20:00,273.64722,273.47626,3070706,-0.00016115,1.88E-05
01/01/2019 21:00,272.6977,273.40012,3070706,-0.000159561,1.88E-05
01/01/2019 22:00,272.8836,273.36472,3070706,-0.000158346,1.88E-05
01/01/2019 23:00,272.68356,273.33066,3070706,-0.000157411,1.88E-05
02/01/2019 0:00,273.02832,273.34903,3070706,-0.000157785,1.88E-05
02/01/2019 1:00,272.9436,273.33066,1,-9.50E-08,1.86E-09
02/01/2019 2:00,272.46002,273.28094,1,3.72E-07,1.86E-09
02/01/2019 3:00,271.72522,273.22675,1,1.03E-06,3.58E-05
02/01/2019 4:00,271.63757,273.17972,1,1.59E-06,0.000466738
02/01/2019 5:00,271.4105,273.15686,1,1.03E-06,0.001092188
02/01/2019 6:00,271.5046,273.14343,1,2.79E-07,0.001326811
02/01/2019 7:00,271.71463,273.1291,14014,2.79E-07,0.001345003
02/01/2019 8:00,272.96594,273.16718,273439,-9.50E-08,0.001345003
02/01/2019 9:00,275.28854,273.32172,813490,-5.14E-06,0.001371352
02/01/2019 10:00,276.72754,273.47043,1605779,-8.86E-05,0.001420284
02/01/2019 11:00,277.37408,273.63977,2542513,-0.000202746,0.001469215
02/01/2019 12:00,277.83765,273.8803,3566920,-0.0003094,0.001533831
02/01/2019 13:00,277.70764,274.2414,4387954.5,-0.000388385,0.001616012
02/01/2019 14:00,276.71518,274.4461,4783200.5,-0.000431757,0.002486123
02/01/2019 15:00,275.65567,274.28482,4973637.5,-0.00046896,0.002638565
02/01/2019 16:00,274.94617,274.0434,4977231,-0.000506069,0.002669932
02/01/2019 17:00,274.35788,273.85522,4977231,-0.000534018,0.002678087
02/01/2019 18:00,273.74368,273.7782,4977231,-0.000553927,0.002692517
02/01/2019 19:00,273.7466,273.76923,4977231,-0.000582063,0.002854995
02/01/2019 20:00,273.69016,273.78848,4977231,-0.000613096,0.00306076
02/01/2019 21:00,273.6172,273.79343,4977231,-0.000640671,0.00324457
02/01/2019 22:00,273.44836,273.78806,4977231,-0.000668152,0.003370035
02/01/2019 23:00,273.10538,273.76025,4977231,-0.000694512,0.00341144
03/01/2019 0:00,272.60886,273.7065,4977231,-0.0007176,0.003418341
03/01/2019 1:00,272.0688,273.63885,1,-1.81E-05,6.28E-07
03/01/2019 2:00,271.56168,273.5654,1,-3.19E-05,6.28E-07
03/01/2019 3:00,271.17636,273.49643,1,-4.27E-05,6.28E-07
03/01/2019 4:00,270.9575,273.43997,1,-5.22E-05,6.28E-07
03/01/2019 5:00,270.68393,273.3804,1,-6.03E-05,6.28E-07
03/01/2019 6:00,270.41275,273.32126,1,-6.78E-05,6.28E-07
03/01/2019 7:00,270.76395,273.2814,20482,-7.60E-05,6.28E-07
03/01/2019 8:00,271.25754,273.28543,272361,-9.54E-05,6.28E-07
